complaint_text,complaint_type,location,priority
"hostel c has a rat problem, pls send pest control asap",Hostel,Hostel C,High
"my friend got hurt in the lab, we need more safety equipment",Laboratory,Laboratory,High
"main building lift is nt working, its so inconvenient",Civil / Infrastructure,Main Building,Medium
"i dont like the new mess menu, its so boring",Mess / Canteen,Mess / Canteen,Low
"library is too quiet, can we have a silent room and a normal room",Library,Library,Medium
"i left my laptop in the lab, can someone pls return it to me",General,Laboratory,Medium
"hostel a has a water supply problem, pls fix it asap",Water Supply,Hostel A,High
"i need help with my wifi password, i forgot it 🙄",IT / Network,Campus (General),Low
"auditorium ac is nt working, its so hot in there",Civil / Infrastructure,Auditorium,Medium
"i want to complain about the hostel food, its so bad",Hostel,Hostel B,Medium
"i saw a cockroach in the mess, pls do something about it",Mess / Canteen,Mess / Canteen,High
"my prof is being really unfair, he gave me a low grade",General,Main Building,Low
"library is open till 10 pm, but the wifi stops working at 9 pm",IT / Network,Library,Medium
"hostel d room 210 has a problem with the electricity, pls send someone to fix",Electricity,Hostel D,High
"i love the new library books, theyre so interesting 📚",Library,Library,Low
"i have a problem with my lab partner, he's nt doing his part of the project",General,Laboratory,Medium
"main building bathroom is dirty, pls clean it",Civil / Infrastructure,Main Building,Low
"i cant print my assignment in the library, the printer is nt working",IT / Network,Library,Medium
"i want to complain about the sports ground, its in bad condition",Sports Ground,Sports Ground,High
"hostel b has a problem with the water supply, pls fix it asap",Water Supply,Hostel B,High
"i need help with my it assignment, can someone pls guide me",IT / Network,Campus (General),Low
"i saw a mouse in the mess, pls do something about it",Mess / Canteen,Mess / Canteen,High
"my prof is really nice, he helped me with my assignment",General,Main Building,Low
"library is my favorite place in the campus, i love studying there",Library,Library,Medium
"i have a problem with the hostel room, its too small",Hostel,Hostel C,Medium
"i cant access the lab, the door is locked",Laboratory,Laboratory,Medium
"main building lift is working again, thanks for fixing it",Civil / Infrastructure,Main Building,Low
"i love the new mess menu, its so delicious 🍴",Mess / Canteen,Mess / Canteen,Low
"i want to complain about the auditorium, its too hot in there",Auditorium,Auditorium,Medium
"hostel a has a problem with the electricity, pls send someone to fix",Electricity,Hostel A,High
"i need help with my wifi connection, its nt working",IT / Network,Campus (General),Low
"library is too cold, can we have a heater or something",Library,Library,Medium
"i saw a dog in the campus, its so cute 🐶",General,Campus (General),Low
"my prof is really boring, i dont understand what hes teaching",General,Main Building,Low
"i have a problem with the sports ground, its too crowded",Sports Ground,Sports Ground,Medium
"hostel b room 105 has a leaky tap, pls send someone to fix",Water Supply,Hostel B,Low
"i love the new library furniture, its so comfy 🛋️",Library,Library,Medium
"i cant connect to the wifi in the hostel, its nt working",IT / Network,Hostel A,Medium
"main building bathroom is clean again, thanks for cleaning it",Civil / Infrastructure,Main Building,Low
"i want to complain about the mess, its too noisy",Mess / Canteen,Mess / Canteen,Medium
"hostel c has a problem with the water supply, pls fix it asap",Water Supply,Hostel C,High
"i need help with my it project, can someone pls guide me",IT / Network,Campus (General),Low
"library is my favorite place to study, i love the silence",Library,Library,Medium
"i have a problem with the lab equipment, its too old",Laboratory,Laboratory,Medium
"auditorium ac is working again, thanks for fixing it",Civil / Infrastructure,Auditorium,Low
"hostel d has a problem with the electricity, pls send someone to fix",Electricity,Hostel D,High
"i love the new mess food, its so delicious 🍔",Mess / Canteen,Mess / Canteen,Low
"i saw a bird in the campus, its so beautiful 🐦",General,Campus (General),Low
"my prof is really nice, he helped me with my project",General,Main Building,Low
"library is too quiet, can we have a music room or something",Library,Library,Medium
"i have a problem with the hostel room, its too noisy",Hostel,Hostel B,Medium
"i cant access the sports ground, the door is locked",Sports Ground,Sports Ground,Medium
"main building lift is nt working again, pls fix it asap",Civil / Infrastructure,Main Building,High
"i want to complain about the library, its too crowded",Library,Library,Medium
"hostel a has a problem with the water supply, pls fix it asap",Water Supply,Hostel A,High
"i need help with my wifi password, i forgot it again 🙄",IT / Network,Campus (General),Low
"library is my favorite place to relax, i love the atmosphere",Library,Library,Medium
"i have a problem with the lab, its too hot in there",Laboratory,Laboratory,Medium
"auditorium is too cold, can we have a heater or something",Civil / Infrastructure,Auditorium,Medium
"hostel c has a problem with the electricity, pls send someone to fix",Electricity,Hostel C,High
"i love the new library books, theyre so interesting 📖",Library,Library,Low
"i saw a cat in the campus, its so cute 🐱",General,Campus (General),Low
"my prof is really boring, i dont understand what hes teaching",General,Main Building,Low
"library is too noisy, can we have a silent room or something",Library,Library,Medium
"i have a problem with the sports ground, its too dirty",Sports Ground,Sports Ground,Medium
"hostel b room 210 has a problem with the electricity, pls send someone to fix",Electricity,Hostel B,High
"i want to complain about the mess, its too bad",Mess / Canteen,Mess / Canteen,Medium
"main building bathroom is dirty again, pls clean it",Civil / Infrastructure,Main Building,Low
"i need help with my it assignment, can someone pls guide me",IT / Network,Campus (General),Low
"library is my favorite place to study, i love the books",Library,Library,Medium
"i have a problem with the hostel room, its too small",Hostel,Hostel D,Medium
"auditorium is too hot, can we have an ac or something",Civil / Infrastructure,Auditorium,Medium
"hostel a has a problem with the water supply, pls fix it asap",Water Supply,Hostel A,High
"i love the new library furniture, its so comfy 🛋️",Library,Library,Low
"i saw a dog in the campus, its so cute 🐶",General,Campus (General),Low
"my prof is really nice, he helped me with my project",General,Main Building,Low
"library is too quiet, can we have a music room or something",Library,Library,Medium
"i have a problem with the lab equipment, its too old",Laboratory,Laboratory,Medium
"sports ground is too crowded, can we have a bigger ground or something",Sports Ground,Sports Ground,Medium
"hostel c has a problem with the electricity, pls send someone to fix",Electricity,Hostel C,High
"i want to complain about the mess, its too noisy",Mess / Canteen,Mess / Canteen,Medium
"main building lift is working again, thanks for fixing it",Civil / Infrastructure,Main Building,Low
"i need help with my wifi connection, its nt working",IT / Network,Campus (General),Low
"library is my favorite place to relax, i love the atmosphere",Library,Library,Medium
"i have a problem with the hostel room, its too noisy",Hostel,Hostel B,Medium
"auditorium is too cold, can we have a heater or something",Civil / Infrastructure,Auditorium,Medium
"hostel d has a problem with the electricity, pls send someone to fix",Electricity,Hostel D,High
"i love the new library books, theyre so interesting 📖",Library,Library,Low
"i saw a bird in the campus, its so beautiful 🐦",General,Campus (General),Low
"my prof is really boring, i dont understand what hes teaching",General,Main Building,Low
"library is too noisy, can we have a silent room or something",Library,Library,Medium
"i have a problem with the sports ground, its too dirty",Sports Ground,Sports Ground,Medium
"hostel b has a problem with the water supply, pls fix it asap",Water Supply,Hostel B,High
"i want to complain about the library, its too crowded",Library,Library,Medium
"main building bathroom is clean again, thanks for cleaning it",Civil / Infrastructure,Main Building,Low
"i need help with my it project, can someone pls guide me",IT / Network,Campus (General),Low
"library is my favorite place to study, i love the silence",Library,Library,Medium
"i have a problem with the lab equipment, its too old",Laboratory,Laboratory,Medium
"auditorium ac is working again, thanks for fixing it",Civil / Infrastructure,Auditorium,Low
"hostel a has a problem with the electricity, pls send someone to fix",Electricity,Hostel A,High
"i love the new mess food, its so delicious 🍔",Mess / Canteen,Mess / Canteen,Low
"i saw a cat in the campus, its so cute 🐱",General,Campus (General),Low
"my prof is really nice, he helped me with my assignment",General,Main Building,Low
"library is too quiet, can we have a music room or something",Library,Library,Medium
"i have a problem with the hostel room, its too small",Hostel,Hostel C,Medium
"sports ground is too crowded, can we have a bigger ground or something",Sports Ground,Sports Ground,Medium
"hostel c has a problem with the water supply, pls fix it asap",Water Supply,Hostel C,High
"i want to complain about the mess, its too bad",Mess / Canteen,Mess / Canteen,Medium
"main building lift is nt working again, pls fix it asap",Civil / Infrastructure,Main Building,High
"i need help with my wifi password, i forgot it again 🙄",IT / Network,Campus (General),Low
"library is my favorite place to relax, i love the atmosphere",Library,Library,Medium
"i have a problem with the lab, its too hot in there",Laboratory,Laboratory,Medium
"auditorium is too cold, can we have a heater or something",Civil / Infrastructure,Auditorium,Medium
"hostel d has a problem with the electricity, pls send someone to fix",Electricity,Hostel D,High
"i love the new library books, theyre so interesting 📖",Library,Library,Low
